,mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,z_outlier
2865200,164,2023-07-08 15:13:39+00:00,51.1683861,4.9642427,67.0,0.0,6.0,0.0,0.0,0.0,57.0,87.0,65.0,89.0,True
2721680,116,2023-06-21 18:54:40+00:00,51.1808113,3.5752197,41.0,41.0,189.0,165.0,794.0,803.0,87.0,81.0,88.0,87.0,False
11253622,116,2023-05-17 03:42:56+00:00,50.8068428,3.9563507,44.0,46.0,358.0,320.0,1863.0,1862.0,86.0,85.0,87.0,85.0,False
6144237,164,2023-01-27 01:34:00+00:00,51.1909401,5.1141909,15.0,6.0,251.0,248.0,802.0,800.0,81.0,81.0,76.0,77.0,False
8372448,164,2023-08-17 00:22:18+00:00,50.9366712,5.3067817,23.0,23.0,265.0,262.0,803.0,798.0,78.0,76.0,68.0,69.0,False
17085262,155,2023-05-17 13:54:53+00:00,50.9952694,3.6464442,37.0,33.0,172.0,196.0,794.0,809.0,88.0,89.0,88.0,90.0,False
9891766,155,2023-09-07 05:18:59+00:00,50.7540794,3.6268544,47.0,43.0,372.0,400.0,1864.0,1847.0,84.0,81.0,81.0,81.0,False
273074,155,2023-09-12 14:54:40+00:00,50.8157302,3.8273426,38.0,40.0,362.0,376.0,1696.0,1706.0,84.0,84.0,89.0,92.0,False
1803178,164,2023-05-26 13:55:52+00:00,50.9356804,5.3108145,21.0,23.0,420.0,438.0,798.0,801.0,56.0,52.0,40.0,43.0,False
3735428,116,2023-08-04 14:53:39+00:00,51.0138123,3.7795454,29.0,31.0,293.0,231.0,802.0,796.0,66.0,65.0,60.0,59.0,False
11365979,116,2023-08-07 07:44:31+00:00,50.9788054,3.8005114,43.0,42.0,175.0,162.0,830.0,830.0,89.0,90.0,94.0,93.0,False
14811001,123,2023-03-22 04:42:01+00:00,50.930695,5.3279075,26.0,25.0,324.0,231.0,798.0,803.0,56.0,78.0,50.0,73.0,False
4026151,116,2023-08-29 16:34:56+00:00,50.9191531,3.9482671,40.0,41.0,251.0,186.0,1083.0,1058.0,83.0,83.0,90.0,90.0,False
17308943,123,2023-03-28 16:24:07+00:00,51.1782192,4.821194,37.0,28.0,182.0,189.0,806.0,799.0,81.0,85.0,83.0,86.0,False
13135041,164,2023-02-05 17:46:27+00:00,51.1359681,4.5603927,11.0,16.0,238.0,227.0,801.0,802.0,81.0,79.0,77.0,79.0,False
12745972,155,2023-03-01 18:18:21+00:00,50.7421846,3.6021573,23.0,15.0,200.0,227.0,798.0,807.0,80.0,80.0,84.0,84.0,False
14050266,175,2023-08-18 02:19:54+00:00,51.1907719,5.1138106,23.0,28.0,224.0,258.0,795.0,799.0,82.0,83.0,81.0,80.0,False
11122718,116,2023-06-28 14:58:52+00:00,50.9203444,3.7907358,42.0,41.0,193.0,162.0,807.0,801.0,86.0,85.0,95.0,91.0,False
3694805,116,2023-01-30 04:15:38+00:00,50.7740226,3.8727347,11.0,8.0,324.0,272.0,799.0,796.0,56.0,55.0,48.0,46.0,False
14822911,175,2023-03-10 08:23:16+00:00,50.9349467,5.3086955,12.0,14.0,258.0,300.0,794.0,801.0,77.0,81.0,73.0,76.0,False
