,mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,time_diff,corr_iqr_outlier
5757428,116,2023-05-30 12:31:55+00:00,51.0157777,3.7739688,20.0,27.0,296.0,238.0,803.0,794.0,65.0,61.0,56.0,54.0,56.0,False
17588393,155,2023-06-20 05:36:39+00:00,50.8337827,3.6054096,32.0,40.0,303.0,320.0,1255.0,1232.0,87.0,88.0,87.0,88.0,8.0,True
13019709,116,2023-09-06 03:36:20+00:00,50.7744038,3.872807,26.0,33.0,220.0,179.0,785.0,801.0,78.0,77.0,76.0,74.0,7.0,False
9129970,116,2023-06-23 02:30:42+00:00,50.9484516,4.0283633,22.0,29.0,276.0,224.0,799.0,804.0,71.0,68.0,63.0,62.0,51.0,False
4399346,155,2023-07-06 05:42:58+00:00,50.8773203,4.0688446,37.0,32.0,169.0,196.0,841.0,836.0,89.0,90.0,91.0,93.0,61.0,False
4104698,116,2023-07-12 15:00:45+00:00,50.7703897,3.8721333,40.0,43.0,203.0,165.0,795.0,797.0,81.0,82.0,87.0,85.0,9.0,False
2508076,175,2023-04-14 05:40:30+00:00,51.0338094,5.3289859,16.0,13.0,0.0,251.0,0.0,796.0,13.0,82.0,19.0,84.0,61.0,True
5017699,116,2023-05-16 13:40:08+00:00,50.948636,4.0289203,23.0,33.0,227.0,182.0,793.0,799.0,78.0,77.0,76.0,75.0,46.0,False
7286219,116,2023-08-23 07:48:53+00:00,51.0357245,3.7102101,36.0,46.0,193.0,165.0,804.0,794.0,82.0,83.0,85.0,85.0,58.0,False
4020708,116,2023-08-31 15:44:59+00:00,50.8133977,3.972907,40.0,37.0,175.0,162.0,797.0,800.0,88.0,87.0,91.0,90.0,48.0,False
2388267,155,2023-04-29 16:16:35+00:00,51.0360197,3.7104511,26.0,24.0,217.0,238.0,797.0,799.0,82.0,80.0,81.0,84.0,60.0,False
11284717,175,2023-05-08 05:45:17+00:00,51.1883857,4.8468745,33.0,21.0,365.0,438.0,1329.0,1348.0,83.0,83.0,84.0,84.0,62.0,True
2428462,116,2023-08-02 04:23:33+00:00,50.85663335,3.60791385,21.0,27.0,343.0,263.5,802.0,801.5,59.0,58.0,50.0,49.5,63.0,False
7569329,155,2023-06-02 03:49:00+00:00,50.7423427,3.6026248,27.0,22.0,269.0,327.0,801.0,804.0,66.0,60.0,66.0,62.0,59.0,False
1172488,155,2023-02-23 16:18:12+00:00,51.1261943,3.6679458,32.0,31.0,365.0,372.0,1495.0,1497.0,86.0,88.0,88.0,92.0,61.0,True
6954564,155,2023-06-02 05:49:08+00:00,50.9961162,3.8022103,32.0,22.0,193.0,213.0,794.0,797.0,82.0,84.0,86.0,86.0,59.0,False
1783259,175,2023-05-17 10:36:05+00:00,51.2135392,5.3649237,50.0,65.0,379.0,446.5,1922.0,1945.0,83.0,85.0,84.0,84.5,11.0,True
4862642,116,2023-02-09 11:42:45+00:00,50.9119695,3.6466968,38.0,45.0,334.0,317.0,1928.0,1893.0,87.0,84.0,92.0,89.0,56.0,True
5988948,116,2023-06-21 02:54:18+00:00,50.851446,3.6018675,25.0,33.0,241.0,189.0,796.0,802.0,79.0,77.0,75.0,74.0,58.0,False
5970160,155,2023-06-20 04:32:37+00:00,51.0558967,3.7407874,33.0,35.0,369.0,376.0,1495.0,1498.0,85.0,86.0,90.0,88.0,56.0,True
7131024,155,2023-03-27 01:42:57+00:00,50.8566845,3.6083514,7.0,18.0,362.0,365.0,802.0,806.0,51.0,57.0,49.0,54.0,61.0,False
11473815,155,2023-06-13 11:48:18+00:00,50.8148482,3.8286244,46.0,40.0,317.0,334.0,1684.0,1676.0,88.0,89.0,93.0,95.0,6.0,True
3934341,155,2023-06-09 05:30:47+00:00,50.9361887,3.7781719,38.0,36.0,324.0,351.0,1498.0,1499.0,91.0,91.0,97.0,97.0,4.0,True
14829047,175,2023-05-29 20:30:03+00:00,51.1499696,4.6144335,36.0,45.0,200.0,255.0,800.0,806.0,81.0,82.0,83.0,84.0,59.0,False
11951433,175,2023-05-26 01:50:40+00:00,51.1906346,5.113018,17.0,17.0,238.0,276.0,802.0,791.0,79.0,82.0,77.0,80.0,60.0,False
16122011,175,2023-07-21 10:17:31+00:00,50.9366615,5.3065854,23.0,25.0,3.0,13.0,0.0,0.0,39.0,38.0,27.0,27.0,21.0,True
3471754,175,2023-04-25 22:42:24+00:00,50.9365333,5.3067056,7.0,17.0,227.0,265.0,795.0,799.0,78.0,81.0,79.0,79.0,63.0,False
