,mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,time_diff,week,corr_z_outlier,LOF_status,month
10060113,116,2023-09-11 05:12:26+00:00,50.7685018,3.8708003,30.0,35.0,213.0,175.0,799.0,802.0,80.0,78.0,81.0,79.0,50.0,37,corr_ok,lof_ok,September
12895822,164,2023-01-31 11:01:26+00:00,50.9311713,5.32601,10.0,17.0,238.0,238.0,795.0,803.0,81.0,79.0,76.0,77.0,60.0,5,corr_ok,lof_ok,January
8309023,123,2023-03-05 19:10:03+00:00,51.1717056,4.9278506,33.0,30.0,189.0,182.0,816.0,806.0,78.0,81.0,0.0,82.0,59.0,9,corr_outlier,lof_ok,March
979073,164,2023-09-11 04:19:52+00:00,51.1905592,5.1123902,25.0,26.0,248.0,238.0,800.0,805.0,82.0,81.0,77.0,79.0,63.0,37,corr_ok,lof_ok,September
9424785,116,2023-08-03 12:33:36+00:00,50.9710405,3.7917803,39.0,37.0,172.0,158.0,799.0,807.0,87.0,88.0,90.0,92.0,11.0,31,corr_ok,lof_ok,August
12927404,116,2023-06-22 05:52:40+00:00,50.9709895,3.7917042,41.0,36.0,358.0,345.0,1893.0,1923.0,85.0,82.0,92.0,92.0,5.0,25,corr_ok,lof_ok,June
13123474,164,2023-02-05 17:49:31+00:00,51.1443052,4.5916316,25.0,28.0,400.0,379.0,1534.0,1731.0,84.0,83.0,82.0,81.0,10.0,5,corr_ok,lof_ok,February
16154690,164,2023-07-23 13:05:42+00:00,51.1904758,5.1137106,39.0,35.0,227.0,220.0,803.0,809.0,81.0,80.0,82.0,82.0,11.0,29,corr_ok,lof_ok,July
1521328,164,2023-04-14 15:44:15+00:00,51.1360635,4.5478865,28.0,35.0,224.0,382.0,1210.0,1411.0,82.0,82.0,81.0,81.0,61.0,15,corr_ok,lof_ok,April
16862436,164,2023-07-22 11:30:37+00:00,51.1598525,4.6680775,41.0,20.5,410.0,194.5,1916.5,1897.5,83.0,0.0,82.0,83.0,10.0,29,corr_outlier,lof_ok,July
14048182,164,2023-08-09 05:31:03+00:00,51.2254713,5.4380075,24.0,0.0,389.0,0.0,1263.0,1581.0,82.0,0.0,82.0,87.0,30.0,32,corr_outlier,lof_ok,August
7161563,116,2023-02-09 04:15:38+00:00,51.0886395,3.7194603,26.0,29.0,217.0,179.0,791.0,798.0,77.0,76.0,77.0,76.0,56.0,6,corr_ok,lof_ok,February
9086493,116,2023-09-08 14:40:01+00:00,50.879587,4.0705676,48.0,43.0,341.0,279.0,1497.0,1498.0,87.0,83.0,90.0,87.0,47.0,36,corr_ok,lof_ok,September
9878113,123,2023-05-15 17:42:40+00:00,51.222791,5.437673,31.0,34.0,224.0,220.0,798.0,797.0,73.0,81.0,75.0,82.0,61.0,20,corr_ok,lof_ok,May
15414625,116,2023-05-10 21:46:56+00:00,50.9481349,4.0289086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,81.0,57.0,19,corr_ok,lof_ok,May
8999309,116,2023-05-24 07:40:03+00:00,51.0271868,3.7514812,22.0,36.0,220.0,179.0,792.0,803.0,78.0,77.0,81.0,77.0,8.0,21,corr_ok,lof_ok,May
16848490,164,2023-07-02 19:45:05+00:00,51.0336985,5.3385554,40.0,0.0,365.5,0.0,1600.0,0.0,87.0,0.0,84.0,87.0,19.0,26,corr_outlier,lof_ok,July
17015398,164,2023-07-10 14:48:20+00:00,51.2009771,4.4311267,44.0,20.5,299.5,153.5,1059.0,579.0,84.0,40.5,82.0,82.5,10.0,28,corr_ok,lof_ok,July
10762121,116,2023-06-08 11:22:03+00:00,51.0401674,3.6927841,37.0,43.0,196.0,175.0,782.0,795.0,83.0,76.0,85.0,77.0,10.0,23,corr_ok,lof_ok,June
3981167,116,2023-06-30 05:31:03+00:00,50.8122683,3.8308863,41.0,37.0,217.0,172.0,801.0,800.0,83.0,81.0,82.0,81.0,49.0,26,corr_ok,lof_ok,June
3079251,164,2023-07-30 17:32:01+00:00,51.2212352,5.4371309,29.0,30.0,325.5,313.5,1305.0,1213.0,82.5,80.5,80.0,81.5,10.0,30,corr_ok,lof_ok,July
13538698,123,2023-05-17 04:28:01+00:00,51.163741,4.7202351,40.0,35.0,365.0,389.0,1620.0,1628.0,81.0,82.0,81.0,82.0,60.0,20,corr_ok,lof_ok,May
4317933,123,2023-04-23 08:33:40+00:00,51.2382171,5.4559797,38.0,40.0,362.0,365.0,1557.0,1559.0,82.0,82.0,82.0,83.0,60.0,16,corr_ok,lof_ok,April
